"建築基準法の全体像
・総○○、手○○関連
・集○○規定
・単○○規定","建築基準法の全体像
・総則、手続き関連
・集団規定
・単体規定"
"避難階段の緩和規定：令123条
①：避難階段の緩和規定①：以下の両方に当てはまる場合
主要構造部が準耐火構造、または不燃材料で造られている建築物
○○階以上の階、または地下○○階以下の階の床面積の合計が○○㎡以下である場合

②：避難階段の緩和規定②：以下の両方に当てはまる場合
主要構造部が耐火構造である建築物
床面積の合計○○㎡（共同住宅の住戸にあつては○○㎡）以内ごとに耐火構造の床・壁・特定防火設備で区画されている場合","避難階段の緩和規定：令123条
①：避難階段の緩和規定①：以下の両方に当てはまる場合
主要構造部が準耐火構造、または不燃材料で造られている建築物
5階以上の階、または地下2階以下の階の床面積の合計が100㎡以下である場合

②：避難階段の緩和規定②：以下の両方に当てはまる場合
主要構造部が耐火構造である建築物
床面積の合計100㎡（共同住宅の住戸にあつては200㎡）以内ごとに耐火構造の床・壁・特定防火設備で区画されている場合"
"■物販店舗の避難階段の通路幅
※あとで書く","■物販店舗の避難階段の通路幅
※あとで書く"
■出口などの規制,■出口などの規制
"・劇場、映画館等の客席からの出口の戸の開き向き：令○○条
○○開き（○○開きNG）","・劇場、映画館等の客席からの出口の戸の開き向き：令118条
外開き（内開きNG）"
"・屋外への出口
①歩行距離：令○○条の数値の○○倍以下
②劇場、映画館等の屋外への出口の戸の開き向き：○○開き（○○開きNG）
③物販店舗の屋外への出口の幅の合計：○○m2につき○○cm以上。
※もう少し厳密に書くか悩む。","・屋外への出口
①歩行距離：令120条の数値の2倍以下
②劇場、映画館等の屋外への出口の戸の開き向き：外開き（内開きNG）
③物販店舗の屋外への出口の幅の合計：100m2につき60cm以上。
※もう少し厳密に書くか悩む。"
"・屋上広場、又は、2階以上の階のバルコニー等の周囲には、
○○m以上の手すり壁等を設置","・屋上広場、又は、2階以上の階のバルコニー等の周囲には、
1.1m以上の手すり壁等を設置"
"・5階以上の階の百貨店の売り場は、
避難用の屋○○場の設置が必要。","・5階以上の階の百貨店の売り場は、
避難用の屋上広場の設置が必要。"
"・敷地内の通路は、
幅員○○m以上の通路の設置が必要。
ただし、階数○○以下で、延べ面積○○m2未満の建築物は、幅員○○cm以上でよい。","・敷地内の通路は、
幅員1.5m以上の通路の設置が必要。
ただし、階数3以下で、延べ面積200m2未満の建築物は、幅員90cm以上でよい。"
【017避難規定②】,【017避難規定②】
■排煙設備の構造,■排煙設備の構造
①排煙設備の排煙口、風道その他の煙に接する部分は不○○材料とする。,①排煙設備の排煙口、風道その他の煙に接する部分は不燃材料とする。
"②排煙口は
防煙区画部分の各部分から水平距離が○○m以下となるように
天井または壁の上部[天井から○○cm(たけの最も短い防煙壁のたけが○○cmに満たないときは、その値)以内の距離にある部分をいう。]
を設け直接外気に接する場合を除き、排煙風道に直結すること。","②排煙口は
防煙区画部分の各部分から水平距離が30m以下となるように
天井または壁の上部[天井から80cm(たけの最も短い防煙壁のたけが80cmに満たないときは、その値)以内の距離にある部分をいう。]
を設け直接外気に接する場合を除き、排煙風道に直結すること。"
"③排煙口には手動開放装置を設け、
その操作部分は壁に設ける場合においては
床から○○cm以上、○○m以下の高さの位置に、天井から吊り下げて設ける場合は床面からおおむね○○mの高さの位置に設け、
かつ、
見やすい方法でその使用方法を表示すること。","③排煙口には手動開放装置を設け、
その操作部分は壁に設ける場合においては
床から80cm以上、1.5m以下の高さの位置に、天井から吊り下げて設ける場合は床面からおおむね1.8mの高さの位置に設け、
かつ、
見やすい方法でその使用方法を表示すること。"
"④排煙口は
手動開放装置若しくは煙感知器と連動する自動開放装置または遠隔操作方式による開放時に排煙に伴い生ずる気流により
閉鎖される恐れのない構造の戸その他これに類するものを設けること。","④排煙口は
手動開放装置若しくは煙感知器と連動する自動開放装置または遠隔操作方式による開放時に排煙に伴い生ずる気流により
閉鎖される恐れのない構造の戸その他これに類するものを設けること。"
⑤排煙上有効な開口面積を防煙区画部分の床面積の1/○○以上とする。,⑤排煙上有効な開口面積を防煙区画部分の床面積の1/50以上とする。
■排煙設備が必要な建築物,■排煙設備が必要な建築物
"①特殊建築物｛建築基準法：別表第1（一：劇○○）（二：病○○）（三：学○○）（四：百○○）｝で
延べ面積が○○㎡を超えるもの","①特殊建築物｛建築基準法：別表第1（一：劇場）（二：病院）（三：学校）（四：百貨店）｝で
延べ面積が500㎡を超えるもの"
②階数が○○以上で、延べ面積が○○㎡を超える建築物,②階数が3以上で、延べ面積が500㎡を超える建築物
③排煙上有効な開口部面積の合計が、床面積の1/○○以下である居室（＝排煙無窓の居室）,③排煙上有効な開口部面積の合計が、床面積の1/50以下である居室（＝排煙無窓の居室）
④延べ面積が○○㎡ を超える建築物の床面積が○○㎡を超える居室,"④延べ面積が1,000㎡ を超える建築物の床面積が200㎡を超える居室"
■排煙設備が免除される場合,■排煙設備が免除される場合
"①上表(い)欄(2)項に掲げる用途に供する特殊建築物のうち、
準耐火構造の床もしくは壁または防火設備で区画された部分で、その床面積が○○m2(共同住宅にあっては○○m2)以内のもの","①上表(い)欄(2)項に掲げる用途に供する特殊建築物のうち、
準耐火構造の床もしくは壁または防火設備で区画された部分で、その床面積が100m2(共同住宅にあっては200m2)以内のもの"
②学校、体育館、ボーリング場、スキー場、スケート場、水泳場またはスポーツの練習場,②学校、体育館、ボーリング場、スキー場、スケート場、水泳場またはスポーツの練習場
"③階○○の部分、昇○○の昇降路の部分(当該昇降機の乗降のための乗降ロビーの部分を含む)、
その他これらに類する建築物の部分","③階段の部分、昇降機の昇降路の部分(当該昇降機の乗降のための乗降ロビーの部分を含む)、
その他これらに類する建築物の部分"
