【001請負契約】,,【001請負契約】,
"■その他
・打放コンクリートのパラペット天端は、塗膜防水か金属笠木で保護。
・防水層立上りに使用する乾式保護板は高さ○○mm以下とする。
・ルーフィングにしわ・空隙が生じた場合、各層毎に補修。ふくれに進行性がなく、小面積の場合、補修しない方が良い場合がある。
・立上り部の末端部は、押さえ金具で固定し、ゴムアスファルト系シール材を充填",,"■その他
・打放コンクリートのパラペット天端は、塗膜防水か金属笠木で保護。
・防水層立上りに使用する乾式保護板は高さ600mm以下とする。
・ルーフィングにしわ・空隙が生じた場合、各層毎に補修。ふくれに進行性がなく、小面積の場合、補修しない方が良い場合がある。
・立上り部の末端部は、押さえ金具で固定し、ゴムアスファルト系シール材を充填",
■■改質アスファルトシート防水,,■■改質アスファルトシート防水,
"■工法種類
①ト○○工法
②常○○工法",,"■工法種類
①トーチ工法
②常温粘着工法",
"■改質アスファルトシート防水の施工
①プライマー
プライマーの使用量：○○kg/m2
ALCパネル下地の場合は、○○回塗り（合計0.4kg/m2）。
②増張り
出隅入隅の角は、○○mm角程度の増張り
密着工法のALCパネル短辺接合部：幅○○mm程度の絶縁増張り
絶縁工法のALCパネル短辺接合部：幅○○mm程度の絶縁用テープ
③平場の張りつけ
重ね幅：○○mm以上
重ね部は改質アスファルトがはみ出すまで十分に溶融して密着
露出工法用のシートの砂面に重ね合わせる場合は、砂面をあぶって砂を沈めるか、砂をかき取った上で重ねる。
シート3枚重ね部は、水みちになりやすいので、端部を斜めにカットするか、焼いた金ゴテで平滑に処理する。
④立上り部
厚さ2.5mm以上の改質アスファルトシートの上に3mm以上の改質アスファルトシートを重ねる。",,"■改質アスファルトシート防水の施工
①プライマー
プライマーの使用量：0.2kg/m2
ALCパネル下地の場合は、2回塗り（合計0.4kg/m2）。
②増張り
出隅入隅の角は、200mm角程度の増張り
密着工法のALCパネル短辺接合部：幅300mm程度の絶縁増張り
絶縁工法のALCパネル短辺接合部：幅50mm程度の絶縁用テープ
③平場の張りつけ
重ね幅：100mm以上
重ね部は改質アスファルトがはみ出すまで十分に溶融して密着
露出工法用のシートの砂面に重ね合わせる場合は、砂面をあぶって砂を沈めるか、砂をかき取った上で重ねる。
シート3枚重ね部は、水みちになりやすいので、端部を斜めにカットするか、焼いた金ゴテで平滑に処理する。
④立上り部
厚さ2.5mm以上の改質アスファルトシートの上に3mm以上の改質アスファルトシートを重ねる。",
■■合成高分子系シート防水,,■■合成高分子系シート防水,
"シート防水の種類
①合○○シート
②塩○○シート",,"シート防水の種類
①合成ゴムシート
②塩化ビニルシート",
"■シート防水の施工
①プライマー
当日の施工範囲をローラー刷毛で塗布
②増張り
ゴム系：先に○○mm角程度の増張り
塩ビ系：施工○○に成形役物を増張り（※後に、張りつけ！注意）
③平場の張りつけ
ゴム系：○○着剤で、重ね幅○○mm以上
塩ビ系：○○着剤or○○融着で、重ね幅○○mm以上
④立上り部
※書き方むずいな。",,"■シート防水の施工
①プライマー
当日の施工範囲をローラー刷毛で塗布
②増張り
ゴム系：先に200mm角程度の増張り
塩ビ系：施工後に成形役物を増張り（※後に、張りつけ！注意）
③平場の張りつけ
ゴム系：接着剤で、重ね幅100mm以上
塩ビ系：溶着剤or熱風融着で、重ね幅40mm以上
④立上り部
※書き方むずいな。",
"■■塗膜防水
①密○○工法
②絶○○工法",,"■■塗膜防水
①密着工法
②絶縁工法",
"■塗膜防水の施工方法
①補○○布
仮敷きして下地になじませ、しわや耳立ち無いよう、防水材を塗りながら張り付け
補強布重ね幅は○○mm以上
コンクリートの打継部、著しいひび割れ箇所は、U字型にはつり、シーリング材を充填した上で、幅○○mm以上の補強布を用いて、防水材で補強塗りする
②防水材の塗布
防水材の塗継ぎの重ね幅は○○mm以上とする
ウレタンゴム系の使用料：平場部○○kg/m2、立上り部○○kg/m2
ウレタンゴム系の塗膜厚さ：平場○○mm、立上り○○mm
③防水材の使用料の管理
膜厚管理が非常に重要。㎡数と使用済み容器を計算して、問題ないか管理する
④保護・仕上げ
仕上材（トップコート）を塗布する
⑤絶縁工法の注意点
通気緩衝シートは、接着剤を塗布して、突きつけ張り。
立上りは密着工法にする。補強布を通気緩衝シートに○○mm張り掛ける
脱気装置は○○～○○m2に1か所程度設置。",,"■塗膜防水の施工方法
①補強布
仮敷きして下地になじませ、しわや耳立ち無いよう、防水材を塗りながら張り付け
補強布重ね幅は50mm以上
コンクリートの打継部、著しいひび割れ箇所は、U字型にはつり、シーリング材を充填した上で、幅100mm以上の補強布を用いて、防水材で補強塗りする
②防水材の塗布
防水材の塗継ぎの重ね幅は100mm以上とする
ウレタンゴム系の使用料：平場部3.0kg/m2、立上り部2.0kg/m2
ウレタンゴム系の塗膜厚さ：平場3mm、立上り2mm
③防水材の使用料の管理
膜厚管理が非常に重要。㎡数と使用済み容器を計算して、問題ないか管理する
④保護・仕上げ
仕上材（トップコート）を塗布する
⑤絶縁工法の注意点
通気緩衝シートは、接着剤を塗布して、突きつけ張り。
立上りは密着工法にする。補強布を通気緩衝シートに100mm張り掛ける
脱気装置は25～100m2に1か所程度設置。",
■■ステンレスシート防水,,■■ステンレスシート防水,
■■シーリング工事,,■■シーリング工事,
"・ワーキングジョイントとは
金○○部の目地
外○○の部材間目地
外○○に取りつける建具周辺の目地
ガ○○回り目地

・ワーキングジョイントは○○面接着とする
・2面接着とするために、バ○○材・ボ○○ブレーカーを使用する",,"・ワーキングジョイントとは
金属部の目地
外壁パネルの部材間目地
外壁パネルに取りつける建具周辺の目地
ガラス回り目地

・ワーキングジョイントは2面接着とする
・2面接着とするために、バックアップ材・ボンドブレーカーを使用する",
"・ノンワーキングジョイントとは
コ○○の各種目地
石○○地、タ○○の伸縮目地
・ノンワーキングジョイントは○○面接着にする",,"・ノンワーキングジョイントとは
コンクリートの各種目地
石目地、タイルの伸縮目地
・ノンワーキングジョイントは3面接着にする",
